pp_no,emotion,trial,muscle,bin,zdiff
pp401,323,trial6,cheek,diff_bin2,-0.00525450096631902
pp401,323,trial6,cheek,diff_bin3,0.144914311088966
pp401,323,trial6,cheek,diff_bin4,0.11586710804301373
pp401,323,trial6,cheek,diff_bin5,0.05806759741350487
pp401,323,trial6,cheek,diff_bin6,0.0017157554175735168
pp401,323,trial7,brow,diff_bin1,-0.11683141082601406
pp401,323,trial7,brow,diff_bin2,-0.2684315432939162
pp401,323,trial7,brow,diff_bin3,0.33431135959151187
pp401,323,trial7,brow,diff_bin4,-0.2441678666007086
pp401,323,trial7,brow,diff_bin5,0.4834447203710598
pp401,323,trial7,brow,diff_bin6,-0.12068042527077344
pp401,323,trial7,cheek,diff_bin1,-0.053175013605580246
pp401,323,trial7,cheek,diff_bin2,-0.02549505315800693
pp401,323,trial7,cheek,diff_bin3,0.008833459532663845
pp401,323,trial7,cheek,diff_bin4,-0.06391188930461467
pp401,323,trial7,cheek,diff_bin5,-0.06535955793819237
pp401,323,trial7,cheek,diff_bin6,0.24125129691788086
pp401,323,trial8,brow,diff_bin1,0.43819221905366657
pp401,323,trial8,brow,diff_bin2,-0.015162139774107963
pp401,323,trial8,brow,diff_bin3,0.06673042722461431
pp401,323,trial8,brow,diff_bin4,0.034322150905203186
pp401,323,trial8,brow,diff_bin5,0.05903239833509555
pp401,323,trial8,brow,diff_bin6,0.20495470286514772
pp401,323,trial8,cheek,diff_bin1,-0.02782740817877105
pp401,323,trial8,cheek,diff_bin2,-0.06790638238615315
pp401,323,trial8,cheek,diff_bin3,-0.05944824435108359
pp401,323,trial8,cheek,diff_bin4,0.03465021683146574
pp401,323,trial8,cheek,diff_bin5,-0.1067655617263541
pp401,323,trial8,cheek,diff_bin6,-0.030012315468337325
pp401,424,trial1,brow,diff_bin1,-0.30013806559853684
pp401,424,trial1,brow,diff_bin2,0.4734075114322397
pp401,424,trial1,brow,diff_bin3,-0.09586385147500387
pp401,424,trial1,brow,diff_bin4,-0.0615204352966251
pp401,424,trial1,brow,diff_bin5,0.04008503993575485
pp401,424,trial1,brow,diff_bin6,0.33273772937652746
pp401,424,trial1,cheek,diff_bin1,1.1662579364172203
pp401,424,trial1,cheek,diff_bin2,0.9599249431148018
pp401,424,trial1,cheek,diff_bin3,0.346595998689057
pp401,424,trial1,cheek,diff_bin4,0.5682903647144393
pp401,424,trial1,cheek,diff_bin5,-0.48508963130132177
pp401,424,trial1,cheek,diff_bin6,-0.2884881882579524
pp401,424,trial3,brow,diff_bin1,-0.1519403768387093
pp401,424,trial3,brow,diff_bin2,0.8638591922069837
pp401,424,trial3,brow,diff_bin3,0.09288671323043873
pp401,424,trial3,brow,diff_bin4,0.3056670366241584
pp401,424,trial3,brow,diff_bin5,0.04876127139134523
pp401,424,trial3,brow,diff_bin6,0.5210204580721097
pp401,424,trial3,cheek,diff_bin1,-0.22836972694687932
pp401,424,trial3,cheek,diff_bin2,0.03959641799618956
pp401,424,trial3,cheek,diff_bin3,-0.05490417336235359
pp401,424,trial3,cheek,diff_bin4,-0.11129622837588413
pp401,424,trial3,cheek,diff_bin5,0.1145400784622342
pp401,424,trial3,cheek,diff_bin6,-0.058898666443891995
pp401,424,trial4,brow,diff_bin1,-0.2250929165623149
pp401,424,trial4,brow,diff_bin2,0.19321627207229036
